Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1987-01-31,8.656263368,-2.993882028,-620.3354836,618.0503225,2.077501993,2.074806869
1987-02-28,8.524843736,-2.910493576,-620.2160794,618.173381,1.934313375,1.930421699
1987-03-31,8.723477134,-2.873166861,-620.1772879,618.2123743,1.879447878,1.87623626
1987-04-30,8.967512588,-3.641062962,-619.1796015,619.2150643,1.004811371,1.00086502
1987-05-31,9.168855169,-3.319058719,-619.0585631,619.3372503,1.260949503,1.257066466
1987-06-30,9.15260859,-3.011627485,-619.511428,618.8828497,1.493887282,1.491985279
1987-07-31,9.584665381,-3.548212387,-619.3941806,619.0005838,1.769700797,1.767148696
1987-08-31,9.758720534,-3.464564076,-619.3271237,619.0675087,1.605471512,1.60306681
1987-09-30,10.2766784,-3.693562068,-619.1231552,619.2722521,1.33827557,1.335584181
1987-10-31,9.469222892,-3.93549061,-619.7009874,618.6987831,0.783910763,0.782135937
1987-11-30,9.65628239,-3.959522527,-619.699078,618.7006392,0.924802307,0.922552776
1987-12-31,6.644609749,-1.70506054,2.861212707,8.040189951,0.456226059,8.462213347
1988-01-31,0.42085179,5.706141922,4.867462352,24.662651,1.64042678,10.67979982
1988-02-29,1.06061104,4.799210158,4.994514998,22.83023401,1.509403829,10.85689111
1988-03-31,5.15271073,0.609623979,2.628758725,12.33811819,0.898588008,9.537786007
1988-04-30,0.861670687,5.20622053,6.156862142,25.48510436,1.509898779,10.88340784
1988-05-31,6.172106102,-0.049045002,3.456203026,10.61542347,0.786064121,9.700915508
1988-06-30,5.950772637,0.158736365,3.498590525,10.01575007,0.782456393,9.889855491
1988-07-31,0.480411708,6.567566046,6.961176639,26.94483189,1.453566857,10.9849056
1988-08-31,6.29261871,1.102008245,3.232086327,9.678743213,0.960477458,10.21508316
1988-09-30,6.84058988,0.466536226,2.446428391,6.991354463,0.790928423,10.66324974
1988-10-31,5.481006974,1.742503932,3.467437473,10.35896092,0.886171291,10.03477344
1988-11-30,7.37471116,0.500440972,2.425362694,5.229252583,0.708452989,9.369657124
1988-12-31,8.194970986,-0.636221707,2.790474399,2.43505334,0.401763664,5.15489405
1989-01-31,8.073849281,0.523304201,1.356268476,2.105438391,0.681305263,4.978683147
1989-02-28,8.402029782,0.385623051,2.050882053,2.063504791,0.57983793,4.478412817
1989-03-31,8.571631806,0.062748556,2.75378698,1.63975221,0.459307436,2.50509762
1989-04-30,7.99214592,0.664797302,2.085238938,2.496350534,0.618409419,6.442853431
1989-05-31,8.281362787,0.537880387,0.944972239,0.592424177,0.393675935,4.845740054
1989-06-30,7.034365181,1.054534108,1.789830456,3.198623403,0.394435642,7.008241389
1989-07-31,6.471790885,1.660739242,0.854219695,4.616804707,0.49903382,10.71656886
1989-08-31,7.805823171,0.092565155,1.294571376,1.091099794,0.419856787,6.425862314
1989-09-30,7.912332056,-0.203617616,1.882379258,0.998971205,0.256994088,4.854445393
1989-10-31,7.311297327,0.540493057,1.480652499,1.911116155,0.220128305,7.412863921
1989-11-30,8.728817071,-0.675871248,-1.967850904,-2.448019745,1.209579834,11.38355986
1989-12-31,8.173334498,-0.130607477,-1.059966501,-0.779454963,1.334870639,30.0
1990-01-31,8.422836675,-0.219445902,-2.216310221,1.513089958,0.711609369,0.71216011
1990-02-28,8.516365357,-1.386959356,0.295891784,2.328007032,0.708307854,0.1
1990-03-31,8.550622788,-0.983167047,0.972298249,1.45661795,1.035061005,0.100000003
1990-04-30,8.932825653,-1.092131961,0.925972904,0.679370589,0.965877561,0.1
1990-05-31,8.497114976,-0.214052299,0.527109288,-0.954988166,2.335252361,0.398407573
